XOR V1, pulse= 00, i= 15.5, temp= 25
XOR V1, pulse= 01, i= 15.5, temp= 25
XOR V1, pulse= 10, i= 15.5, temp= 25
XOR V1, pulse= 11, i= 15.5, temp= 25
XOR V2, pulse= 00, i= 31.5, temp= 25
XOR V2, pulse= 01, i= 37.0, temp= 25
XOR V2, pulse= 10, i= 37.0, temp= 25
XOR V2, pulse= 11, i= 31.5, temp= 25
XOR V3, pulse= 00, i= 15.5, temp= 25
XOR V3, pulse= 01, i= 15.5, temp= 25
XOR V3, pulse= 10, i= 15.5, temp= 25
XOR V3, pulse= 11, i= 29.5, temp= 25
XOR V4, pulse= 00, i= 15.5, temp= 25
XOR V4, pulse= 01, i= 15.5, temp= 25
XOR V4, pulse= 10, i= 15.5, temp= 25
XOR V4, pulse= 11, i= 16.0, temp= 25
XOR V5, pulse= 00, i= 16.0, temp= 25
XOR V5, pulse= 01, i= 15.5, temp= 25
XOR V5, pulse= 10, i= 15.5, temp= 25
XOR V5, pulse= 11, i= 16.0, temp= 25
XOR V6, pulse= 00, i= 31.5, temp= 25
XOR V6, pulse= 01, i= 37.0, temp= 25
XOR V6, pulse= 10, i= 37.0, temp= 25
XOR V6, pulse= 11, i= 31.5, temp= 25
XOR V7, pulse= 00, i= 31.5, temp= 25
XOR V7, pulse= 01, i= 37.0, temp= 25
XOR V7, pulse= 10, i= 37.0, temp= 25
XOR V7, pulse= 11, i= 31.5, temp= 25
XOR V8, pulse= 00, i= 16.0, temp= 25
XOR V8, pulse= 01, i= 15.5, temp= 25
XOR V8, pulse= 10, i= 15.5, temp= 25
XOR V8, pulse= 11, i= 15.5, temp= 25
XOR V9, pulse= 00, i= 31.5, temp= 25
XOR V9, pulse= 01, i= 37.0, temp= 25
XOR V9, pulse= 10, i= 37.0, temp= 25
XOR V9, pulse= 11, i= 31.5, temp= 25
XOR V1, pulse= 00, i= 13.5, temp= 50
XOR V1, pulse= 01, i= 12.5, temp= 50
XOR V1, pulse= 10, i= 12.5, temp= 50
XOR V1, pulse= 11, i= 13.5, temp= 50
XOR V2, pulse= 00, i= 28.0, temp= 50
XOR V2, pulse= 01, i= 29.5, temp= 50
XOR V2, pulse= 10, i= 29.5, temp= 50
XOR V2, pulse= 11, i= 28.0, temp= 50
XOR V3, pulse= 00, i= 13.5, temp= 50
XOR V3, pulse= 01, i= 12.5, temp= 50
XOR V3, pulse= 10, i= 12.5, temp= 50
XOR V3, pulse= 11, i= 25.5, temp= 50
XOR V4, pulse= 00, i= 13.5, temp= 50
XOR V4, pulse= 01, i= 12.5, temp= 50
XOR V4, pulse= 10, i= 12.5, temp= 50
XOR V4, pulse= 11, i= 14.0, temp= 50
XOR V5, pulse= 00, i= 14.0, temp= 50
XOR V5, pulse= 01, i= 12.5, temp= 50
XOR V5, pulse= 10, i= 12.5, temp= 50
XOR V5, pulse= 11, i= 14.0, temp= 50
XOR V6, pulse= 00, i= 28.0, temp= 50
XOR V6, pulse= 01, i= 29.5, temp= 50
XOR V6, pulse= 10, i= 29.5, temp= 50
XOR V6, pulse= 11, i= 28.0, temp= 50
XOR V7, pulse= 00, i= 28.0, temp= 50
XOR V7, pulse= 01, i= 29.5, temp= 50
XOR V7, pulse= 10, i= 29.5, temp= 50
XOR V7, pulse= 11, i= 28.0, temp= 50
XOR V8, pulse= 00, i= 14.0, temp= 50
XOR V8, pulse= 01, i= 12.5, temp= 50
XOR V8, pulse= 10, i= 12.5, temp= 50
XOR V8, pulse= 11, i= 13.5, temp= 50
XOR V9, pulse= 00, i= 28.0, temp= 50
XOR V9, pulse= 01, i= 29.5, temp= 50
XOR V9, pulse= 10, i= 29.5, temp= 50
XOR V9, pulse= 11, i= 28.0, temp= 50
XOR V1, pulse= 00, i= 12.0, temp= 75
XOR V1, pulse= 01, i= 10.5, temp= 75
XOR V1, pulse= 10, i= 10.5, temp= 75
XOR V1, pulse= 11, i= 12.0, temp= 75
XOR V2, pulse= 00, i= 25.0, temp= 75
XOR V2, pulse= 01, i= 24.5, temp= 75
XOR V2, pulse= 10, i= 24.5, temp= 75
XOR V2, pulse= 11, i= 25.0, temp= 75
XOR V3, pulse= 00, i= 12.0, temp= 75
XOR V3, pulse= 01, i= 10.5, temp= 75
XOR V3, pulse= 10, i= 10.5, temp= 75
XOR V3, pulse= 11, i= 22.0, temp= 75
XOR V4, pulse= 00, i= 10551.5, temp= 75
XOR V4, pulse= 01, i= 10.5, temp= 75
XOR V4, pulse= 10, i= 10.5, temp= 75
XOR V4, pulse= 11, i= 12.0, temp= 75
XOR V5, pulse= 00, i= 12.5, temp= 75
XOR V5, pulse= 01, i= 10.5, temp= 75
XOR V5, pulse= 10, i= 11.0, temp= 75
XOR V5, pulse= 11, i= 26392.5, temp= 75
XOR V6, pulse= 00, i= 25.0, temp= 75
XOR V6, pulse= 01, i= 24.5, temp= 75
XOR V6, pulse= 10, i= 24.5, temp= 75
XOR V6, pulse= 11, i= 25.0, temp= 75
XOR V7, pulse= 00, i= 25.0, temp= 75
XOR V7, pulse= 01, i= 24.5, temp= 75
XOR V7, pulse= 10, i= 24.5, temp= 75
XOR V7, pulse= 11, i= 25.0, temp= 75
XOR V8, pulse= 00, i= 9014.5, temp= 75
XOR V8, pulse= 01, i= 10.5, temp= 75
XOR V8, pulse= 10, i= 10.5, temp= 75
XOR V8, pulse= 11, i= 12.0, temp= 75
XOR V9, pulse= 00, i= 25.0, temp= 75
XOR V9, pulse= 01, i= 24.5, temp= 75
XOR V9, pulse= 10, i= 24.5, temp= 75
XOR V9, pulse= 11, i= 25.0, temp= 75
XOR V1, pulse= 00, i= 11731.5, temp= 100
