XOR V1, pulse= 00, i= 545.0, temp= 25
XOR V1, pulse= 01, i= 49.5, temp= 25
XOR V1, pulse= 10, i= 49.5, temp= 25
XOR V1, pulse= 11, i= 329.5, temp= 25
XOR V2, pulse= 00, i= 520.5, temp= 25
XOR V2, pulse= 01, i= 83.5, temp= 25
XOR V2, pulse= 10, i= 83.5, temp= 25
XOR V2, pulse= 11, i= 95.0, temp= 25
XOR V3, pulse= 00, i= 59.0, temp= 25
XOR V3, pulse= 01, i= 61.0, temp= 25
XOR V3, pulse= 10, i= 61.0, temp= 25
XOR V3, pulse= 11, i= 119.5, temp= 25
XOR V4, pulse= 00, i= 59.0, temp= 25
XOR V4, pulse= 01, i= 61.0, temp= 25
XOR V4, pulse= 10, i= 49.5, temp= 25
XOR V4, pulse= 11, i= 68.5, temp= 25
XOR V5, pulse= 00, i= 67.5, temp= 25
XOR V5, pulse= 01, i= 60.5, temp= 25
XOR V5, pulse= 10, i= 61.0, temp= 25
XOR V5, pulse= 11, i= 67.5, temp= 25
XOR V6, pulse= 00, i= 479.0, temp= 25
XOR V6, pulse= 01, i= 83.5, temp= 25
XOR V6, pulse= 10, i= 83.5, temp= 25
XOR V6, pulse= 11, i= 492.5, temp= 25
XOR V7, pulse= 00, i= 260.5, temp= 25
XOR V7, pulse= 01, i= 83.5, temp= 25
XOR V7, pulse= 10, i= 83.5, temp= 25
XOR V7, pulse= 11, i= 469.5, temp= 25
XOR V8, pulse= 00, i= 68.5, temp= 25
XOR V8, pulse= 01, i= 49.5, temp= 25
XOR V8, pulse= 10, i= 62.0, temp= 25
XOR V8, pulse= 11, i= 59.0, temp= 25
XOR V9, pulse= 00, i= 482.5, temp= 25
XOR V9, pulse= 01, i= 83.5, temp= 25
XOR V9, pulse= 10, i= 83.5, temp= 25
XOR V9, pulse= 11, i= 467.5, temp= 25
XOR V1, pulse= 00, i= 59.5, temp= 50
XOR V1, pulse= 01, i= 50.0, temp= 50
XOR V1, pulse= 10, i= 50.0, temp= 50
XOR V1, pulse= 11, i= 59.5, temp= 50
XOR V2, pulse= 00, i= 98.0, temp= 50
XOR V2, pulse= 01, i= 86.0, temp= 50
XOR V2, pulse= 10, i= 86.0, temp= 50
XOR V2, pulse= 11, i= 566.5, temp= 50
XOR V3, pulse= 00, i= 59.5, temp= 50
XOR V3, pulse= 01, i= 62.0, temp= 50
XOR V3, pulse= 10, i= 61.5, temp= 50
XOR V3, pulse= 11, i= 121.5, temp= 50
XOR V4, pulse= 00, i= 59.5, temp= 50
XOR V4, pulse= 01, i= 62.0, temp= 50
XOR V4, pulse= 10, i= 523.5, temp= 50
